005075,Univ of California - Santa Barbara
005051,Univ of California - Santa Cruz
001711,Univ of Central Florida
000830,Univ of Central Missouri
005085,Univ of Chicago
005095,Univ of Colorado
005100,Univ of Connecticut
005120,Univ of Delaware
005125,Univ of Denver
005140,Univ of Florida
005145,Univ of Hartford
005147,Univ of Hawaii
005150,Univ of Houston
005155,Univ of Idaho
005160,Univ of Illinois - Chicago
005165,Univ of Illinois - Urbana-Champaign
005170,Univ of Iowa
005173,Univ of Kansas
906224,Univ of Kansas Medical Center
005175,Univ of Kentucky
900079,Univ of Maine System
005195,Univ of Maryland - College Park
005200,Univ of Massachusetts - Amherst
004572,Univ of Massachusetts - Dartmouth
002701,Univ of Massachusetts - Lowell
005202,Univ of Massachusetts - Medical School
520001,Univ of Massachusetts - President's Office
005205,Univ of Miami
005210,Univ of Michigan
005215,Univ of Minnesota
005220,Univ of Mississippi
005235,Univ of Missouri - Kansas City
901327,Univ of Missouri System
005243,Univ of Montana
005245,Univ of Nebraska - Lincoln
005250,Univ of Nebraska - Medical Center
007807,Univ of Nevada - Las Vegas
001741,Univ of New Hampshire School of Law
005260,Univ of New Mexico
005269,Univ of North Carolina - Asheville
005265,Univ of North Carolina - Chapel Hill
005274,Univ of North Carolina - Charlotte
005271,Univ of North Carolina - Wilmington
005275,Univ of North Dakota
003465,Univ of North Georgia
001115,Univ of Northern Colorado
005280,Univ of Notre Dame
005285,Univ of Oklahoma
005291,Univ of Oregon
005300,Univ of Pennsylvania
005305,Univ of Pittsburgh
005330,Univ of Richmond
005370,Univ of South Dakota
007842,Univ of South Florida
005380,Univ of Southern California
002279,Univ of Southern Indiana
001070,Univ of St Thomas
005405,Univ of Texas - Austin
005407,Univ of Texas - Dallas
005413,Univ of Texas - Houston Health Science Center
003692,Univ of Texas - Pan American
005408,Univ of Texas - San Antonio
005420,Univ of Toledo
005430,Univ of Utah
005435,Univ of Vermont
005440,Univ of Virginia
005445,Univ of Washington
005455,Univ of Wisconsin - Madison
007802,Univ of Wyoming
005255,Univ System of New Hampshire
005485,Utah State Univ
005510,Vanderbilt Univ
005515,Vassar College
002940,Virginia Commonwealth Univ
005540,Virginia Polytechnic Institute & State Univ
005565,Wake Forest Univ
005630,Washington State Univ
005635,Washington Univ - St Louis
005650,Wayne State Univ
005700,Wesleyan Univ
005807,West Virginia Univ
005725,Western Kentucky Univ
005760,Western Washington Univ
005815,Wheaton College
005841,Wichita State Univ
005873,William Rainey Harper College
005953,Wright State Univ
005975,Yale Univ
005995,Yeshiva Univ - Bronx
